case_id,concept:name,concept:name_prefix,concept:name_k,concept:name_next
Case 817,wait,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,resolve-ticket
Case 817,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket,5,closed
Case 818,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 818,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 818,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 819,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 819,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 819,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 820,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 820,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 820,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 821,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 821,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 821,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 822,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 822,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 822,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 823,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 823,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 823,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 823,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 824,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 824,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 824,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 825,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 825,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 825,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 826,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 826,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 826,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 826,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 827,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 827,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 827,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 827,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 828,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 828,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 828,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 828,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket
Case 828,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 829,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 829,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 829,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 830,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 830,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 830,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 830,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 831,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 831,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 831,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 831,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 832,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 832,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 832,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 833,insert-ticket,insert-ticket,0,assign-seriousness
Case 833,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 833,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 833,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 834,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 834,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 834,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 834,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 835,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 835,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 835,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 835,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 836,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 836,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 836,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,resolve-sw-anomaly
Case 836,resolve-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-sw-anomaly,3,resolve-sw-anomaly
Case 836,resolve-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly,4,resolve-ticket
Case 836,resolve-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-sw-anomaly resolve-sw-anomaly resolve-ticket,5,closed
Case 837,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 837,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 837,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 838,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 838,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 838,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 839,take-in-charge-ticket,take-in-charge-ticket,0,wait
Case 839,wait,take-in-charge-ticket wait,1,resolve-ticket
Case 839,resolve-ticket,take-in-charge-ticket wait resolve-ticket,2,closed
Case 840,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 840,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 840,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 841,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 841,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 841,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 842,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 842,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 842,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 843,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 843,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 843,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 844,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 844,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 844,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 845,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 845,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 845,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 845,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 846,insert-ticket,insert-ticket,0,assign-seriousness
Case 846,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 846,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 846,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 847,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 847,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 847,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 848,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 848,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 848,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 849,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 849,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 849,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 850,take-in-charge-ticket,take-in-charge-ticket,0,resolve-ticket
Case 850,resolve-ticket,take-in-charge-ticket resolve-ticket,1,closed
Case 851,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 851,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 851,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 852,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 852,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 852,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 853,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 853,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 853,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 854,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 854,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 854,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 855,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 855,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 855,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 856,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 856,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 856,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 856,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 857,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 857,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 857,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 857,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 858,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 858,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 858,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 859,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 859,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 859,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 860,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 860,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 860,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 861,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 861,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 861,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,take-in-charge-ticket
Case 861,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket take-in-charge-ticket,3,resolve-ticket
Case 861,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 862,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 862,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 862,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 863,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 863,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 863,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 864,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 864,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 864,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 864,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 864,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 865,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 865,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 865,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 866,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 866,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 866,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 867,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 867,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 867,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 867,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 868,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 868,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 868,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,resolve-ticket
Case 868,resolve-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-ticket,3,closed
Case 869,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 869,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 869,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 870,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 870,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 870,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 871,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 871,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 871,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 872,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 872,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 872,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 873,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 873,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 873,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 874,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 874,assign-seriousness,assign-seriousness assign-seriousness,1,assign-seriousness
Case 874,assign-seriousness,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 874,take-in-charge-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 874,resolve-ticket,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 875,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 875,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 875,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 876,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 876,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 876,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 876,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 877,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 877,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 877,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 877,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 878,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 878,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 878,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 879,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 879,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 879,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 880,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 880,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 880,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 881,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 881,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 881,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 881,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 882,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 882,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 882,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 883,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 883,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 883,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 883,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,wait
Case 883,wait,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait,4,resolve-ticket
Case 883,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket,5,resolve-ticket
Case 883,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket wait resolve-ticket resolve-ticket,6,closed
Case 884,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 884,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 884,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 885,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 885,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 886,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 886,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 886,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 887,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 887,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 887,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 887,wait,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 887,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 888,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 888,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 888,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 889,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 889,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 889,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 889,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 890,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 890,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 890,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 890,wait,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 890,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,wait
Case 890,wait,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket wait,5,take-in-charge-ticket
Case 890,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket wait take-in-charge-ticket,6,resolve-ticket
Case 890,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,7,closed
Case 891,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 891,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 891,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 892,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 892,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 892,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 893,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 893,resolve-ticket,assign-seriousness resolve-ticket,1,closed
Case 894,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 894,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 894,wait,assign-seriousness take-in-charge-ticket wait,2,wait
Case 894,wait,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 894,resolve-ticket,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 895,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 895,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 895,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 895,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,take-in-charge-ticket
Case 895,take-in-charge-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket,4,resolve-ticket
Case 895,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket take-in-charge-ticket resolve-ticket,5,closed
Case 896,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 896,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 896,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 897,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 897,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 897,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 898,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 898,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 898,wait,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 898,resolve-ticket,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 899,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 899,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 899,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,resolve-ticket
Case 899,resolve-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-ticket,3,take-in-charge-ticket
Case 899,take-in-charge-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket,4,create-sw-anomaly
Case 899,create-sw-anomaly,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly,5,resolve-ticket
Case 899,resolve-ticket,assign-seriousness take-in-charge-ticket create-sw-anomaly resolve-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,6,closed
Case 900,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 900,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 900,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 900,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 900,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 901,assign-seriousness,assign-seriousness,0,resolve-ticket
Case 901,resolve-ticket,assign-seriousness resolve-ticket,1,resolve-ticket
Case 901,resolve-ticket,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 902,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 902,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 902,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 903,insert-ticket,insert-ticket,0,assign-seriousness
Case 903,assign-seriousness,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 903,take-in-charge-ticket,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 903,resolve-ticket,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 904,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 904,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 904,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 905,assign-seriousness,assign-seriousness,0,assign-seriousness
Case 905,assign-seriousness,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 905,take-in-charge-ticket,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 905,resolve-ticket,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 906,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 906,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 906,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 907,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 907,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,wait
Case 907,wait,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 907,take-in-charge-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 907,resolve-ticket,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 908,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 908,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 908,resolve-ticket,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 909,assign-seriousness,assign-seriousness,0,take-in-charge-ticket
Case 909,take-in-charge-ticket,assign-seriousness take-in-charge-ticket,1,resolve-ticket
