case_id,prefix,k,next_act,Resource
Case 663,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 663,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 664,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 664,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 664,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 664,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 665,assign-seriousness,0,assign-seriousness,Value 6
Case 665,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 665,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 11
Case 665,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 11
Case 666,assign-seriousness,0,assign-seriousness,Value 1
Case 666,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 1
Case 666,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value 1
Case 666,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,resolve-ticket,Value 2
Case 666,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,4,closed,Value 2
Case 667,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 667,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 667,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 14
Case 668,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 668,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 668,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 669,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 669,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 669,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 670,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 670,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 670,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 671,assign-seriousness,0,assign-seriousness,Value 8
Case 671,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 8
Case 671,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 671,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 7
Case 672,assign-seriousness,0,assign-seriousness,Value 13
Case 672,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 672,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait,Value 2
Case 672,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket,Value 9
Case 672,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket,Value 9
Case 672,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed,Value 9
Case 673,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 673,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 673,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 674,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 674,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 674,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 1
Case 674,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 1
Case 674,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2
Case 675,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 675,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 675,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9
Case 675,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9
Case 675,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9
Case 676,take-in-charge-ticket,0,wait,Value 1
Case 676,take-in-charge-ticket wait,1,resolve-ticket,Value 1
Case 676,take-in-charge-ticket wait resolve-ticket,2,closed,Value 9
Case 677,assign-seriousness,0,wait,Value 1
Case 677,assign-seriousness wait,1,take-in-charge-ticket,Value 1
Case 677,assign-seriousness wait take-in-charge-ticket,2,resolve-ticket,Value 1
Case 677,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,closed,Value 1
Case 678,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 678,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 678,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 13
Case 678,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 13
Case 678,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 13
Case 679,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 679,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 679,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 680,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 680,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 680,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 681,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 681,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 681,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 682,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 682,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 682,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 683,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 683,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 683,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 684,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 684,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 684,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 685,take-in-charge-ticket,0,wait,Value 2
Case 685,take-in-charge-ticket wait,1,resolve-ticket,Value 2
Case 685,take-in-charge-ticket wait resolve-ticket,2,closed,Value 2
Case 686,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 686,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 686,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 687,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 687,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 687,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 688,assign-seriousness,0,assign-seriousness,Value 8
Case 688,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 8
Case 688,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 13
Case 688,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 13
Case 689,assign-seriousness,0,take-in-charge-ticket,Value 7
Case 689,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 689,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 690,assign-seriousness,0,assign-seriousness,Value 12
Case 690,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 690,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 6
Case 690,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 6
Case 691,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 691,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 691,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 692,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 692,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 692,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 693,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 693,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 693,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 694,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 694,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 694,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 695,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 695,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 695,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 1
Case 695,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 1
Case 695,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 1
Case 696,assign-seriousness,0,take-in-charge-ticket,Value 14
Case 696,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 696,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 697,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 697,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 697,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 698,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 698,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 698,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 698,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 699,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 699,assign-seriousness take-in-charge-ticket,1,wait,Value 6
Case 699,assign-seriousness take-in-charge-ticket wait,2,wait,Value 6
Case 699,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket,Value 6
Case 699,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket,Value 6
Case 699,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed,Value 6
Case 700,assign-seriousness,0,resolve-ticket,Value 1
Case 700,assign-seriousness resolve-ticket,1,resolve-ticket,Value 13
Case 700,assign-seriousness resolve-ticket resolve-ticket,2,closed,Value 13
Case 701,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 701,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 701,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 702,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 702,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 702,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 703,assign-seriousness,0,take-in-charge-ticket,Value 15
Case 703,assign-seriousness take-in-charge-ticket,1,wait,Value 12
Case 703,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 12
Case 703,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 12
Case 703,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 12
Case 704,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 704,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 704,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 705,assign-seriousness,0,resolve-ticket,Value 1
Case 705,assign-seriousness resolve-ticket,1,closed,Value 1
Case 706,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 706,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 706,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 17
Case 707,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 707,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 707,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 708,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 708,assign-seriousness take-in-charge-ticket,1,wait,Value 3
Case 708,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 2
Case 708,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 2
Case 709,assign-seriousness,0,assign-seriousness,Value 15
Case 709,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 15
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,resolve-ticket,Value 15
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,4,closed,Value 21
Case 710,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 710,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 710,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 711,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 711,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 711,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 17
Case 712,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 712,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 712,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 13
Case 712,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 13
Case 713,insert-ticket,0,assign-seriousness,Value 14
Case 713,insert-ticket assign-seriousness,1,take-in-charge-ticket,Value 14
Case 713,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 14
Case 713,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 714,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 714,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 714,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 715,assign-seriousness,0,take-in-charge-ticket,Value 16
Case 715,assign-seriousness take-in-charge-ticket,1,wait,Value 16
Case 715,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 16
Case 715,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 6
Case 715,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 6
Case 716,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 716,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 716,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 716,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 717,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 717,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 9
Case 717,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 718,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 718,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 718,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 17
Case 719,assign-seriousness,0,take-in-charge-ticket,Value 6
Case 719,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 6
Case 719,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 720,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 720,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 720,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 721,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 721,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 721,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 722,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 722,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 722,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 723,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 723,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 723,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 724,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 724,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 724,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 725,assign-seriousness,0,assign-seriousness,Value 8
Case 725,assign-seriousness assign-seriousness,1,assign-seriousness,Value 8
Case 725,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket,Value 15
Case 725,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket,Value 15
Case 725,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed,Value 15
Case 726,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 726,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 726,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 727,assign-seriousness,0,take-in-charge-ticket,Value 19
Case 727,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 19
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket,Value 19
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,wait,Value 19
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,4,take-in-charge-ticket,Value 19
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket,Value 19
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed,Value 19
Case 728,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 728,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 728,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 729,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 729,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 729,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 9
Case 730,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 730,assign-seriousness take-in-charge-ticket,1,wait,Value 8
Case 730,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 9
Case 730,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 9
Case 730,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 9
Case 731,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 731,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket,Value 4
Case 731,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket,Value 4
Case 731,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed,Value 9
Case 732,assign-seriousness,0,create-sw-anomaly,Value 1
Case 732,assign-seriousness create-sw-anomaly,1,take-in-charge-ticket,Value 1
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket,2,create-sw-anomaly,Value 2
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly,3,require-upgrade,Value 1
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade,4,verified,Value 2
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified,5,duplicate,Value 2
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified duplicate,6,resolve-ticket,Value 2
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified duplicate resolve-ticket,7,closed,Value 14
Case 733,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 733,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 733,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 734,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 734,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 16
Case 734,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 6
Case 735,assign-seriousness,0,take-in-charge-ticket,Value 12
Case 735,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 17
Case 735,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 17
Case 736,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 736,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 736,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 737,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 737,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 737,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 738,assign-seriousness,0,assign-seriousness,Value 1
Case 738,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 13
Case 738,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 13
Case 738,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 1
Case 739,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 739,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 16
Case 739,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 16
Case 740,assign-seriousness,0,take-in-charge-ticket,Value 8
Case 740,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 8
Case 740,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 741,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 741,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 741,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 742,assign-seriousness,0,resolve-ticket,Value 1
Case 742,assign-seriousness resolve-ticket,1,closed,Value 1
Case 743,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 743,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 743,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket,Value 1
Case 743,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed,Value 1
Case 744,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 744,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 744,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 13
Case 744,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 13
Case 745,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 745,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 745,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 746,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 746,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 746,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 10
Case 747,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 747,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 747,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 4
Case 747,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 4
Case 748,assign-seriousness,0,take-in-charge-ticket,Value 2
Case 748,assign-seriousness take-in-charge-ticket,1,wait,Value 2
Case 748,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 2
Case 748,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 2
Case 748,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 2
Case 749,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 749,assign-seriousness take-in-charge-ticket,1,wait,Value 1
Case 749,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 1
Case 749,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,resolve-ticket,Value 4
Case 749,assign-seriousness take-in-charge-ticket wait resolve-ticket resolve-ticket,4,closed,Value 4
Case 750,assign-seriousness,0,assign-seriousness,Value 11
Case 750,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 750,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 11
Case 750,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 11
Case 751,insert-ticket,0,assign-seriousness,Value 7
Case 751,insert-ticket assign-seriousness,1,assign-seriousness,Value 8
Case 751,insert-ticket assign-seriousness assign-seriousness,2,take-in-charge-ticket,Value 8
Case 751,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket,Value 9
Case 751,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed,Value 9
Case 752,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 752,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 10
Case 752,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 753,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 753,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 753,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 754,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 754,assign-seriousness take-in-charge-ticket,1,wait,Value 13
Case 754,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket,Value 13
Case 754,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket,Value 13
Case 754,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed,Value 13
Case 755,assign-seriousness,0,take-in-charge-ticket,Value 13
Case 755,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 13
Case 755,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 13
Case 756,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 756,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 756,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
Case 757,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 757,assign-seriousness take-in-charge-ticket,1,require-upgrade,Value 2
Case 757,assign-seriousness take-in-charge-ticket require-upgrade,2,wait,Value 2
Case 757,assign-seriousness take-in-charge-ticket require-upgrade wait,3,resolve-ticket,Value 2
Case 757,assign-seriousness take-in-charge-ticket require-upgrade wait resolve-ticket,4,closed,Value 2
Case 758,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 758,assign-seriousness take-in-charge-ticket,1,wait,Value 9
Case 758,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket,Value 9
Case 758,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed,Value 9
Case 759,assign-seriousness,0,assign-seriousness,Value 9
Case 759,assign-seriousness assign-seriousness,1,take-in-charge-ticket,Value 2
Case 759,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket,Value 2
Case 759,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed,Value 2
Case 760,assign-seriousness,0,take-in-charge-ticket,Value 1
Case 760,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 1
Case 760,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 1
Case 761,assign-seriousness,0,take-in-charge-ticket,Value 9
Case 761,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 2
Case 761,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 2
Case 762,assign-seriousness,0,take-in-charge-ticket,Value 4
Case 762,assign-seriousness take-in-charge-ticket,1,resolve-ticket,Value 4
Case 762,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed,Value 4
