case_id,prefix,k,time_passed,recent_time,latest_time,next_time
Case 1811,assign-seriousness,0,0,0,0,0
Case 1811,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1811,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,36
Case 1811,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,37,38,36,1
Case 1812,assign-seriousness,0,0,0,0,17
Case 1812,assign-seriousness take-in-charge-ticket,1,17,0,17,0
Case 1812,assign-seriousness take-in-charge-ticket resolve-ticket,2,17,17,0,15
Case 1812,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,15,15,1
Case 1813,assign-seriousness,0,0,0,0,22
Case 1813,assign-seriousness take-in-charge-ticket,1,22,0,22,3
Case 1813,assign-seriousness take-in-charge-ticket wait,2,25,25,3,3
Case 1813,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,28,6,3,15
Case 1813,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,43,18,15,1
Case 1814,assign-seriousness,0,0,0,0,20
Case 1814,assign-seriousness take-in-charge-ticket,1,20,0,20,6
Case 1814,assign-seriousness take-in-charge-ticket wait,2,26,26,6,11
Case 1814,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,37,17,11,15
Case 1814,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,52,26,15,1
Case 1815,assign-seriousness,0,0,0,0,0
Case 1815,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1815,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,1,1,30
Case 1815,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,31,31,30,1
Case 1816,assign-seriousness,0,0,0,0,0
Case 1816,assign-seriousness assign-seriousness,1,0,0,0,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,0,0,0,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,0,0,0,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,0,0,0,2
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,6,2,2,2,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket,7,2,3,0,0
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket,8,2,0,0,2
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket,9,4,3,2,39
Case 1816,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,10,43,42,39,1
Case 1817,assign-seriousness,0,0,0,0,0
Case 1817,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1817,assign-seriousness take-in-charge-ticket resolve-ticket,2,1,2,1,35
Case 1817,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,36,37,35,1
Case 1818,assign-seriousness,0,0,0,0,0
Case 1818,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1818,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,1,0,37
Case 1818,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,37,38,37,1
Case 1819,assign-seriousness,0,0,0,0,0
Case 1819,assign-seriousness take-in-charge-ticket,1,0,0,0,8
Case 1819,assign-seriousness take-in-charge-ticket resolve-ticket,2,8,8,8,22
Case 1819,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,31,22,1
Case 1820,assign-seriousness,0,0,0,0,0
Case 1820,assign-seriousness wait,1,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket,2,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait,3,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket,4,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,6,0,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,7,0,0,0,6
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,8,6,6,6,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,9,6,6,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,10,6,0,0,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,11,6,0,0,11
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,12,17,12,11,0
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,13,17,11,0,15
Case 1820,assign-seriousness wait take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,14,32,15,15,1
Case 1821,assign-seriousness,0,0,0,0,1
Case 1821,assign-seriousness take-in-charge-ticket,1,1,0,1,0
Case 1821,assign-seriousness take-in-charge-ticket wait,2,1,2,0,3
Case 1821,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,4,3,3,9
Case 1821,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,13,12,9,19
Case 1821,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,32,28,19,1
Case 1822,assign-seriousness,0,0,0,0,0
Case 1822,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1822,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,30
Case 1822,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,31,30,1
Case 1823,assign-seriousness,0,0,0,0,14
Case 1823,assign-seriousness take-in-charge-ticket,1,14,0,14,1
Case 1823,assign-seriousness take-in-charge-ticket wait,2,15,16,1,0
Case 1823,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,15,2,0,15
Case 1823,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,30,15,15,1
Case 1824,assign-seriousness,0,0,0,0,0
Case 1824,assign-seriousness resolve-ticket,1,0,0,0,0
Case 1824,assign-seriousness resolve-ticket resolve-ticket,2,0,0,0,58
Case 1824,assign-seriousness resolve-ticket resolve-ticket closed,3,58,58,58,1
Case 1825,assign-seriousness,0,0,0,0,0
Case 1825,assign-seriousness take-in-charge-ticket,1,0,0,0,7
Case 1825,assign-seriousness take-in-charge-ticket wait,2,7,8,7,14
Case 1825,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,21,21,14,15
Case 1825,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,36,29,15,1
Case 1826,assign-seriousness,0,0,0,0,15
Case 1826,assign-seriousness take-in-charge-ticket,1,15,0,15,0
Case 1826,assign-seriousness take-in-charge-ticket wait,2,15,15,0,0
Case 1826,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,15,0,0,14
Case 1826,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,29,15,14,1
Case 1827,assign-seriousness,0,0,0,0,0
Case 1827,assign-seriousness take-in-charge-ticket,1,0,0,0,17
Case 1827,assign-seriousness take-in-charge-ticket resolve-ticket,2,17,17,17,15
Case 1827,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,33,15,1
Case 1828,assign-seriousness,0,0,0,0,3
Case 1828,assign-seriousness take-in-charge-ticket,1,3,0,3,19
Case 1828,assign-seriousness take-in-charge-ticket resolve-ticket,2,22,23,19,15
Case 1828,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,37,34,15,1
Case 1829,assign-seriousness,0,0,0,0,0
Case 1829,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1829,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,45
Case 1829,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,45,45,45,1
Case 1830,assign-seriousness,0,0,0,0,0
Case 1830,assign-seriousness take-in-charge-ticket,1,0,0,0,5
Case 1830,assign-seriousness take-in-charge-ticket resolve-ticket,2,5,5,5,0
Case 1830,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,5,5,0,0
Case 1830,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,5,0,0,24
Case 1830,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,29,24,24,1
Case 1831,assign-seriousness,0,0,0,0,2
Case 1831,assign-seriousness take-in-charge-ticket,1,2,0,2,0
Case 1831,assign-seriousness take-in-charge-ticket wait,2,2,2,0,16
Case 1831,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,18,16,16,15
Case 1831,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,33,31,15,1
Case 1832,assign-seriousness,0,0,0,0,0
Case 1832,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1832,assign-seriousness take-in-charge-ticket wait,2,0,0,0,1
Case 1832,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,1,2,1,0
Case 1832,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,1,1,0,34
Case 1832,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,35,34,34,1
Case 1833,assign-seriousness,0,0,0,0,0
Case 1833,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1833,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,34
Case 1833,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,34,34,34,1
Case 1834,assign-seriousness,0,0,0,0,0
Case 1834,assign-seriousness take-in-charge-ticket,1,0,0,0,7
Case 1834,assign-seriousness take-in-charge-ticket resolve-ticket,2,7,7,7,35
Case 1834,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,42,43,35,1
Case 1835,assign-seriousness,0,0,0,0,3
Case 1835,assign-seriousness take-in-charge-ticket,1,3,0,3,5
Case 1835,assign-seriousness take-in-charge-ticket resolve-ticket,2,8,8,5,22
Case 1835,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,27,22,1
Case 1836,assign-seriousness,0,0,0,0,2
Case 1836,assign-seriousness take-in-charge-ticket,1,2,0,2,2
Case 1836,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,5,2,38
Case 1836,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,42,41,38,1
Case 1837,assign-seriousness,0,0,0,0,0
Case 1837,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1837,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,43
Case 1837,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,43,1
Case 1838,assign-seriousness,0,0,0,0,0
Case 1838,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1838,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,30
Case 1838,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,31,30,1
Case 1839,assign-seriousness,0,0,0,0,5
Case 1839,assign-seriousness assign-seriousness,1,5,0,5,0
Case 1839,assign-seriousness assign-seriousness take-in-charge-ticket,2,5,5,0,10
Case 1839,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,15,10,10,6
Case 1839,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,4,21,16,6,30
Case 1839,assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket closed,5,51,36,30,1
Case 1840,assign-seriousness,0,0,0,0,0
Case 1840,assign-seriousness assign-seriousness,1,0,0,0,0
Case 1840,assign-seriousness assign-seriousness take-in-charge-ticket,2,0,0,0,0
Case 1840,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,0,0,0,31
Case 1840,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,31,31,31,1
Case 1841,assign-seriousness,0,0,0,0,0
Case 1841,assign-seriousness take-in-charge-ticket,1,0,0,0,15
Case 1841,assign-seriousness take-in-charge-ticket resolve-ticket,2,15,15,15,35
Case 1841,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,50,50,35,1
Case 1842,assign-seriousness,0,0,0,0,0
Case 1842,assign-seriousness take-in-charge-ticket,1,0,0,0,13
Case 1842,assign-seriousness take-in-charge-ticket resolve-ticket,2,13,13,13,30
Case 1842,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,43,30,1
Case 1843,assign-seriousness,0,0,0,0,15
Case 1843,assign-seriousness assign-seriousness,1,15,0,15,0
Case 1843,assign-seriousness assign-seriousness resolve-ticket,2,15,15,0,15
Case 1843,assign-seriousness assign-seriousness resolve-ticket closed,3,30,15,15,1
Case 1844,assign-seriousness,0,0,0,0,13
Case 1844,assign-seriousness take-in-charge-ticket,1,13,0,13,1
Case 1844,assign-seriousness take-in-charge-ticket wait,2,14,14,1,2
Case 1844,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,16,3,2,16
Case 1844,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,32,18,16,1
Case 1845,assign-seriousness,0,0,0,0,0
Case 1845,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1845,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,0,0,0,0
Case 1845,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket,3,0,0,0,0
Case 1845,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket,4,0,0,0,36
Case 1845,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,5,36,36,36,1
Case 1846,assign-seriousness,0,0,0,0,0
Case 1846,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1846,assign-seriousness take-in-charge-ticket wait,2,0,0,0,2
Case 1846,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,2,2,2,0
Case 1846,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,2,2,0,29
Case 1846,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,31,29,29,1
Case 1847,assign-seriousness,0,0,0,0,0
Case 1847,assign-seriousness take-in-charge-ticket,1,0,0,0,32
Case 1847,assign-seriousness take-in-charge-ticket resolve-ticket,2,32,32,32,15
Case 1847,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,47,47,15,1
Case 1848,assign-seriousness,0,0,0,0,0
Case 1848,assign-seriousness take-in-charge-ticket,1,0,0,0,1
Case 1848,assign-seriousness take-in-charge-ticket wait,2,1,1,1,25
Case 1848,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,26,27,25,15
Case 1848,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,41,40,15,1
Case 1849,assign-seriousness,0,0,0,0,0
Case 1849,assign-seriousness take-in-charge-ticket,1,0,0,0,5
Case 1849,assign-seriousness take-in-charge-ticket wait,2,5,6,5,11
Case 1849,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,16,17,11,1
Case 1849,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,17,12,1,15
Case 1849,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,32,16,15,1
Case 1850,assign-seriousness,0,0,0,0,3
Case 1850,assign-seriousness wait,1,3,0,3,14
Case 1850,assign-seriousness wait take-in-charge-ticket,2,17,17,14,0
Case 1850,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,17,14,0,31
Case 1850,assign-seriousness wait take-in-charge-ticket resolve-ticket closed,4,48,31,31,1
Case 1851,assign-seriousness,0,0,0,0,0
Case 1851,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1851,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,0
Case 1851,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,0,0,0,44
Case 1851,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket closed,4,44,44,44,1
Case 1852,assign-seriousness,0,0,0,0,0
Case 1852,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1852,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,32
Case 1852,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,32,32,1
Case 1853,assign-seriousness,0,0,0,0,15
Case 1853,assign-seriousness take-in-charge-ticket,1,15,0,15,5
Case 1853,assign-seriousness take-in-charge-ticket resolve-ticket,2,20,21,5,30
Case 1853,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,50,35,30,1
Case 1854,assign-seriousness,0,0,0,0,3
Case 1854,assign-seriousness take-in-charge-ticket,1,3,0,3,13
Case 1854,assign-seriousness take-in-charge-ticket wait,2,16,17,13,2
Case 1854,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,18,16,2,30
Case 1854,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,48,32,30,1
Case 1855,insert-ticket,0,0,0,0,0
Case 1855,insert-ticket assign-seriousness,1,0,0,0,0
Case 1855,insert-ticket assign-seriousness take-in-charge-ticket,2,0,0,0,3
Case 1855,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,3,4,3,54
Case 1855,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket closed,4,57,58,54,1
Case 1856,assign-seriousness,0,0,0,0,0
Case 1856,assign-seriousness take-in-charge-ticket,1,0,0,0,15
Case 1856,assign-seriousness take-in-charge-ticket wait,2,15,15,15,3
Case 1856,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,18,19,3,15
Case 1856,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,33,18,15,1
Case 1857,assign-seriousness,0,0,0,0,0
Case 1857,assign-seriousness take-in-charge-ticket,1,0,0,0,7
Case 1857,assign-seriousness take-in-charge-ticket resolve-ticket,2,7,7,7,51
Case 1857,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,58,58,51,1
Case 1858,assign-seriousness,0,0,0,0,20
Case 1858,assign-seriousness resolve-ticket,1,20,0,20,15
Case 1858,assign-seriousness resolve-ticket closed,2,35,35,15,1
Case 1859,assign-seriousness,0,0,0,0,0
Case 1859,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1859,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,35
Case 1859,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,35,35,35,1
Case 1860,assign-seriousness,0,0,0,0,16
Case 1860,assign-seriousness take-in-charge-ticket,1,16,0,16,0
Case 1860,assign-seriousness take-in-charge-ticket wait,2,16,16,0,17
Case 1860,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,33,17,17,15
Case 1860,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,48,32,15,1
Case 1861,assign-seriousness,0,0,0,0,0
Case 1861,assign-seriousness assign-seriousness,1,0,0,0,6
Case 1861,assign-seriousness assign-seriousness take-in-charge-ticket,2,6,6,6,6
Case 1861,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,12,12,6,18
Case 1861,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket closed,4,30,24,18,1
Case 1862,assign-seriousness,0,0,0,0,0
Case 1862,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1862,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,44
Case 1862,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,44,44,44,1
Case 1863,assign-seriousness,0,0,0,0,0
Case 1863,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1863,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,47
Case 1863,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,47,47,47,1
Case 1864,assign-seriousness,0,0,0,0,2
Case 1864,assign-seriousness take-in-charge-ticket,1,2,0,2,2
Case 1864,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,4,2,39
Case 1864,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,41,39,1
Case 1865,assign-seriousness,0,0,0,0,0
Case 1865,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1865,assign-seriousness take-in-charge-ticket wait,2,0,0,0,6
Case 1865,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,6,7,6,0
Case 1865,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,6,7,0,29
Case 1865,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket closed,5,35,30,29,1
Case 1866,assign-seriousness,0,0,0,0,0
Case 1866,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1866,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,1
Case 1866,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,1,1,1,25
Case 1866,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,26,27,25,15
Case 1866,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket closed,5,41,40,15,1
Case 1867,assign-seriousness,0,0,0,0,0
Case 1867,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,0,0,0,0
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket,3,0,0,0,3
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket,4,3,3,3,6
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,9,10,6,0
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,9,6,0,7
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket,7,16,7,7,0
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket,8,16,7,0,0
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket,9,16,0,0,30
Case 1867,assign-seriousness take-in-charge-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,10,46,30,30,1
Case 1868,assign-seriousness,0,0,0,0,15
Case 1868,assign-seriousness take-in-charge-ticket,1,15,0,15,0
Case 1868,assign-seriousness take-in-charge-ticket wait,2,15,15,0,0
Case 1868,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,15,0,0,15
Case 1868,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,30,15,15,1
Case 1869,assign-seriousness,0,0,0,0,32
Case 1869,assign-seriousness take-in-charge-ticket,1,32,0,32,0
Case 1869,assign-seriousness take-in-charge-ticket resolve-ticket,2,32,32,0,15
Case 1869,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,47,15,15,1
Case 1870,assign-seriousness,0,0,0,0,0
Case 1870,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1870,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,37
Case 1870,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,37,37,37,1
Case 1871,assign-seriousness,0,0,0,0,0
Case 1871,assign-seriousness take-in-charge-ticket,1,0,0,0,2
Case 1871,assign-seriousness take-in-charge-ticket resolve-ticket,2,2,2,2,28
Case 1871,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,30,28,1
Case 1872,assign-seriousness,0,0,0,0,0
Case 1872,assign-seriousness take-in-charge-ticket,1,0,0,0,3
Case 1872,assign-seriousness take-in-charge-ticket resolve-ticket,2,3,3,3,40
Case 1872,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,43,44,40,1
Case 1873,assign-seriousness,0,0,0,0,3
Case 1873,assign-seriousness take-in-charge-ticket,1,3,0,3,0
Case 1873,assign-seriousness take-in-charge-ticket resolve-ticket,2,3,3,0,0
Case 1873,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,3,0,0,27
Case 1873,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket closed,4,30,27,27,1
Case 1874,insert-ticket,0,0,0,0,2
Case 1874,insert-ticket assign-seriousness,1,2,0,2,6
Case 1874,insert-ticket assign-seriousness take-in-charge-ticket,2,8,8,6,1
Case 1874,insert-ticket assign-seriousness take-in-charge-ticket wait,3,9,7,1,6
Case 1874,insert-ticket assign-seriousness take-in-charge-ticket wait resolve-ticket,4,15,7,6,15
Case 1874,insert-ticket assign-seriousness take-in-charge-ticket wait resolve-ticket closed,5,30,21,15,1
Case 1875,assign-seriousness,0,0,0,0,3
Case 1875,assign-seriousness take-in-charge-ticket,1,3,0,3,0
Case 1875,assign-seriousness take-in-charge-ticket wait,2,3,3,0,3
Case 1875,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,6,3,3,32
Case 1875,assign-seriousness take-in-charge-ticket wait resolve-ticket closed,4,38,36,32,1
Case 1876,assign-seriousness,0,0,0,0,0
Case 1876,assign-seriousness take-in-charge-ticket,1,0,0,0,10
Case 1876,assign-seriousness take-in-charge-ticket resolve-ticket,2,10,11,10,0
Case 1876,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,10,10,0,29
Case 1876,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket closed,4,39,29,29,1
Case 1877,assign-seriousness,0,0,0,0,6
Case 1877,assign-seriousness take-in-charge-ticket,1,6,0,6,4
Case 1877,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,10,11,4,0
Case 1877,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,10,5,0,47
Case 1877,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket closed,4,57,47,47,1
Case 1878,assign-seriousness,0,0,0,0,0
Case 1878,assign-seriousness take-in-charge-ticket,1,0,0,0,0
Case 1878,assign-seriousness take-in-charge-ticket resolve-ticket,2,0,0,0,32
Case 1878,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,32,32,32,1
Case 1879,assign-seriousness,0,0,0,0,4
Case 1879,assign-seriousness take-in-charge-ticket,1,4,0,4,0
Case 1879,assign-seriousness take-in-charge-ticket resolve-ticket,2,4,4,0,26
Case 1879,assign-seriousness take-in-charge-ticket resolve-ticket closed,3,30,26,26,1
Case 1880,assign-seriousness,0,0,0,0,2
Case 1880,assign-seriousness take-in-charge-ticket,1,2,0,2,6
Case 1880,assign-seriousness take-in-charge-ticket resolve-ticket,2,8,9,6,36
