case_id,prefix,k,next_act
Case 674,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 674,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 674,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 675,assign-seriousness,0,take-in-charge-ticket
Case 675,assign-seriousness take-in-charge-ticket,1,wait
Case 675,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 675,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 675,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 676,take-in-charge-ticket,0,wait
Case 676,take-in-charge-ticket wait,1,resolve-ticket
Case 676,take-in-charge-ticket wait resolve-ticket,2,closed
Case 677,assign-seriousness,0,wait
Case 677,assign-seriousness wait,1,take-in-charge-ticket
Case 677,assign-seriousness wait take-in-charge-ticket,2,resolve-ticket
Case 677,assign-seriousness wait take-in-charge-ticket resolve-ticket,3,closed
Case 678,assign-seriousness,0,take-in-charge-ticket
Case 678,assign-seriousness take-in-charge-ticket,1,wait
Case 678,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 678,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 678,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 679,assign-seriousness,0,take-in-charge-ticket
Case 679,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 679,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 680,assign-seriousness,0,take-in-charge-ticket
Case 680,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 680,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 681,assign-seriousness,0,take-in-charge-ticket
Case 681,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 681,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 682,assign-seriousness,0,take-in-charge-ticket
Case 682,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 682,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 683,assign-seriousness,0,take-in-charge-ticket
Case 683,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 683,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 684,assign-seriousness,0,take-in-charge-ticket
Case 684,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 684,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 685,take-in-charge-ticket,0,wait
Case 685,take-in-charge-ticket wait,1,resolve-ticket
Case 685,take-in-charge-ticket wait resolve-ticket,2,closed
Case 686,assign-seriousness,0,take-in-charge-ticket
Case 686,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 686,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 687,assign-seriousness,0,take-in-charge-ticket
Case 687,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 687,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 688,assign-seriousness,0,assign-seriousness
Case 688,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 688,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 688,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 689,assign-seriousness,0,take-in-charge-ticket
Case 689,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 689,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 690,assign-seriousness,0,assign-seriousness
Case 690,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 690,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 690,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 691,assign-seriousness,0,take-in-charge-ticket
Case 691,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 691,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 692,assign-seriousness,0,take-in-charge-ticket
Case 692,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 692,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 693,assign-seriousness,0,take-in-charge-ticket
Case 693,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 693,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 694,assign-seriousness,0,take-in-charge-ticket
Case 694,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 694,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 695,assign-seriousness,0,take-in-charge-ticket
Case 695,assign-seriousness take-in-charge-ticket,1,wait
Case 695,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 695,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 695,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 696,assign-seriousness,0,take-in-charge-ticket
Case 696,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 696,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 697,assign-seriousness,0,take-in-charge-ticket
Case 697,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 697,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 698,assign-seriousness,0,take-in-charge-ticket
Case 698,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 698,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 698,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 699,assign-seriousness,0,take-in-charge-ticket
Case 699,assign-seriousness take-in-charge-ticket,1,wait
Case 699,assign-seriousness take-in-charge-ticket wait,2,wait
Case 699,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 699,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 699,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 700,assign-seriousness,0,resolve-ticket
Case 700,assign-seriousness resolve-ticket,1,resolve-ticket
Case 700,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 701,assign-seriousness,0,take-in-charge-ticket
Case 701,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 701,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 702,assign-seriousness,0,take-in-charge-ticket
Case 702,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 702,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 703,assign-seriousness,0,take-in-charge-ticket
Case 703,assign-seriousness take-in-charge-ticket,1,wait
Case 703,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 703,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 703,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 704,assign-seriousness,0,take-in-charge-ticket
Case 704,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 704,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 705,assign-seriousness,0,resolve-ticket
Case 705,assign-seriousness resolve-ticket,1,closed
Case 706,assign-seriousness,0,take-in-charge-ticket
Case 706,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 706,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 707,assign-seriousness,0,take-in-charge-ticket
Case 707,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 707,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 708,assign-seriousness,0,take-in-charge-ticket
Case 708,assign-seriousness take-in-charge-ticket,1,wait
Case 708,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 708,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 709,assign-seriousness,0,assign-seriousness
Case 709,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,resolve-ticket
Case 709,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,4,closed
Case 710,assign-seriousness,0,take-in-charge-ticket
Case 710,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 710,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 711,assign-seriousness,0,take-in-charge-ticket
Case 711,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 711,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 712,assign-seriousness,0,take-in-charge-ticket
Case 712,assign-seriousness take-in-charge-ticket,1,wait
Case 712,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 712,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 713,insert-ticket,0,assign-seriousness
Case 713,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 713,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 713,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 714,assign-seriousness,0,take-in-charge-ticket
Case 714,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 714,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 715,assign-seriousness,0,take-in-charge-ticket
Case 715,assign-seriousness take-in-charge-ticket,1,wait
Case 715,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 715,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 715,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 716,assign-seriousness,0,take-in-charge-ticket
Case 716,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 716,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 716,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 717,assign-seriousness,0,take-in-charge-ticket
Case 717,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 717,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 718,assign-seriousness,0,take-in-charge-ticket
Case 718,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 718,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 719,assign-seriousness,0,take-in-charge-ticket
Case 719,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 719,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 720,assign-seriousness,0,take-in-charge-ticket
Case 720,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 720,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 721,assign-seriousness,0,take-in-charge-ticket
Case 721,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 721,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 722,assign-seriousness,0,take-in-charge-ticket
Case 722,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 722,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 723,assign-seriousness,0,take-in-charge-ticket
Case 723,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 723,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 724,assign-seriousness,0,take-in-charge-ticket
Case 724,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 724,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 725,assign-seriousness,0,assign-seriousness
Case 725,assign-seriousness assign-seriousness,1,assign-seriousness
Case 725,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 725,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 725,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 726,assign-seriousness,0,take-in-charge-ticket
Case 726,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 726,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 727,assign-seriousness,0,take-in-charge-ticket
Case 727,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,wait
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,4,take-in-charge-ticket
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 727,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 728,assign-seriousness,0,take-in-charge-ticket
Case 728,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 728,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 729,assign-seriousness,0,take-in-charge-ticket
Case 729,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 729,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 730,assign-seriousness,0,take-in-charge-ticket
Case 730,assign-seriousness take-in-charge-ticket,1,wait
Case 730,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 730,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 730,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 731,assign-seriousness,0,take-in-charge-ticket
Case 731,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 731,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,resolve-ticket
Case 731,assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,3,closed
Case 732,assign-seriousness,0,create-sw-anomaly
Case 732,assign-seriousness create-sw-anomaly,1,take-in-charge-ticket
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket,2,create-sw-anomaly
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly,3,require-upgrade
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade,4,verified
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified,5,duplicate
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified duplicate,6,resolve-ticket
Case 732,assign-seriousness create-sw-anomaly take-in-charge-ticket create-sw-anomaly require-upgrade verified duplicate resolve-ticket,7,closed
Case 733,assign-seriousness,0,take-in-charge-ticket
Case 733,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 733,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 734,assign-seriousness,0,take-in-charge-ticket
Case 734,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 734,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 735,assign-seriousness,0,take-in-charge-ticket
Case 735,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 735,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 736,assign-seriousness,0,take-in-charge-ticket
Case 736,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 736,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 737,assign-seriousness,0,take-in-charge-ticket
Case 737,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 737,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 738,assign-seriousness,0,assign-seriousness
Case 738,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 738,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 738,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 739,assign-seriousness,0,take-in-charge-ticket
Case 739,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 739,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 740,assign-seriousness,0,take-in-charge-ticket
Case 740,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 740,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 741,assign-seriousness,0,take-in-charge-ticket
Case 741,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 741,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 742,assign-seriousness,0,resolve-ticket
Case 742,assign-seriousness resolve-ticket,1,closed
Case 743,assign-seriousness,0,take-in-charge-ticket
Case 743,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 743,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 743,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 744,assign-seriousness,0,take-in-charge-ticket
Case 744,assign-seriousness take-in-charge-ticket,1,wait
Case 744,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 744,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 745,assign-seriousness,0,take-in-charge-ticket
Case 745,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 745,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 746,assign-seriousness,0,take-in-charge-ticket
Case 746,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 746,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 747,assign-seriousness,0,take-in-charge-ticket
Case 747,assign-seriousness take-in-charge-ticket,1,wait
Case 747,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 747,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 748,assign-seriousness,0,take-in-charge-ticket
Case 748,assign-seriousness take-in-charge-ticket,1,wait
Case 748,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 748,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 748,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 749,assign-seriousness,0,take-in-charge-ticket
Case 749,assign-seriousness take-in-charge-ticket,1,wait
Case 749,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 749,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,resolve-ticket
Case 749,assign-seriousness take-in-charge-ticket wait resolve-ticket resolve-ticket,4,closed
Case 750,assign-seriousness,0,assign-seriousness
Case 750,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 750,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 750,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 751,insert-ticket,0,assign-seriousness
Case 751,insert-ticket assign-seriousness,1,assign-seriousness
Case 751,insert-ticket assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 751,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket,3,resolve-ticket
Case 751,insert-ticket assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,4,closed
Case 752,assign-seriousness,0,take-in-charge-ticket
Case 752,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 752,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 753,assign-seriousness,0,take-in-charge-ticket
Case 753,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 753,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 754,assign-seriousness,0,take-in-charge-ticket
Case 754,assign-seriousness take-in-charge-ticket,1,wait
Case 754,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 754,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 754,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 755,assign-seriousness,0,take-in-charge-ticket
Case 755,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 755,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 756,assign-seriousness,0,take-in-charge-ticket
Case 756,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 756,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 757,assign-seriousness,0,take-in-charge-ticket
Case 757,assign-seriousness take-in-charge-ticket,1,require-upgrade
Case 757,assign-seriousness take-in-charge-ticket require-upgrade,2,wait
Case 757,assign-seriousness take-in-charge-ticket require-upgrade wait,3,resolve-ticket
Case 757,assign-seriousness take-in-charge-ticket require-upgrade wait resolve-ticket,4,closed
Case 758,assign-seriousness,0,take-in-charge-ticket
Case 758,assign-seriousness take-in-charge-ticket,1,wait
Case 758,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 758,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 759,assign-seriousness,0,assign-seriousness
Case 759,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 759,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 759,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 760,assign-seriousness,0,take-in-charge-ticket
Case 760,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 760,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 761,assign-seriousness,0,take-in-charge-ticket
Case 761,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 761,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 762,assign-seriousness,0,take-in-charge-ticket
Case 762,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 762,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 763,assign-seriousness,0,take-in-charge-ticket
Case 763,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 763,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 764,assign-seriousness,0,take-in-charge-ticket
Case 764,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 764,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 765,assign-seriousness,0,take-in-charge-ticket
Case 765,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 765,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 766,assign-seriousness,0,take-in-charge-ticket
Case 766,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 766,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 767,assign-seriousness,0,take-in-charge-ticket
Case 767,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 767,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 768,assign-seriousness,0,take-in-charge-ticket
Case 768,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 768,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,wait
Case 768,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait,3,resolve-ticket
Case 768,assign-seriousness take-in-charge-ticket take-in-charge-ticket wait resolve-ticket,4,closed
Case 769,assign-seriousness,0,take-in-charge-ticket
Case 769,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 769,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 770,assign-seriousness,0,take-in-charge-ticket
Case 770,assign-seriousness take-in-charge-ticket,1,wait
Case 770,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 770,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 771,insert-ticket,0,assign-seriousness
Case 771,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 771,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 771,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 772,assign-seriousness,0,take-in-charge-ticket
Case 772,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 772,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 773,assign-seriousness,0,take-in-charge-ticket
Case 773,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 773,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 774,assign-seriousness,0,assign-seriousness
Case 774,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 774,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 774,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 775,assign-seriousness,0,take-in-charge-ticket
Case 775,assign-seriousness take-in-charge-ticket,1,wait
Case 775,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 775,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 776,assign-seriousness,0,take-in-charge-ticket
Case 776,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 776,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 777,assign-seriousness,0,assign-seriousness
Case 777,assign-seriousness assign-seriousness,1,resolve-ticket
Case 777,assign-seriousness assign-seriousness resolve-ticket,2,closed
Case 778,assign-seriousness,0,take-in-charge-ticket
Case 778,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 778,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 779,assign-seriousness,0,take-in-charge-ticket
Case 779,assign-seriousness take-in-charge-ticket,1,wait
Case 779,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 779,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 779,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 780,assign-seriousness,0,take-in-charge-ticket
Case 780,assign-seriousness take-in-charge-ticket,1,wait
Case 780,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 780,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 781,assign-seriousness,0,take-in-charge-ticket
Case 781,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 781,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 781,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket
Case 781,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,resolve-ticket
Case 781,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket resolve-ticket,5,closed
Case 782,assign-seriousness,0,take-in-charge-ticket
Case 782,assign-seriousness take-in-charge-ticket,1,wait
Case 782,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 782,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 783,assign-seriousness,0,take-in-charge-ticket
Case 783,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 783,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 784,assign-seriousness,0,take-in-charge-ticket
Case 784,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 784,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 784,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 785,assign-seriousness,0,take-in-charge-ticket
Case 785,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 785,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 786,assign-seriousness,0,assign-seriousness
Case 786,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 786,assign-seriousness assign-seriousness take-in-charge-ticket,2,take-in-charge-ticket
Case 786,assign-seriousness assign-seriousness take-in-charge-ticket take-in-charge-ticket,3,resolve-ticket
Case 786,assign-seriousness assign-seriousness take-in-charge-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 787,assign-seriousness,0,take-in-charge-ticket
Case 787,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 787,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 788,assign-seriousness,0,take-in-charge-ticket
Case 788,assign-seriousness take-in-charge-ticket,1,wait
Case 788,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 788,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 789,assign-seriousness,0,take-in-charge-ticket
